,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
160,160,160.0,160.0,160.0,guo_readmission,guo_readmission,count,gbm,2,128,auprc,0.2600189641867131
161,161,161.0,161.0,161.0,guo_readmission,guo_readmission,count,gbm,2,128,brier,0.2046406801859247
162,162,162.0,162.0,162.0,guo_readmission,guo_readmission,count,gbm,3,128,auroc,0.7376799457670375
163,163,163.0,163.0,163.0,guo_readmission,guo_readmission,count,gbm,3,128,auprc,0.2433097870980673
164,164,164.0,164.0,164.0,guo_readmission,guo_readmission,count,gbm,3,128,brier,0.2217260285215458
165,165,165.0,165.0,165.0,guo_readmission,guo_readmission,count,gbm,4,128,auroc,0.7630837021972325
166,166,166.0,166.0,166.0,guo_readmission,guo_readmission,count,gbm,4,128,auprc,0.3283790723755861
167,167,167.0,167.0,167.0,guo_readmission,guo_readmission,count,gbm,4,128,brier,0.2267977909444425
168,168,168.0,168.0,168.0,guo_readmission,guo_readmission,count,lr_lbfgs,0,-1,auroc,0.7508932487937154
169,169,169.0,169.0,169.0,guo_readmission,guo_readmission,count,lr_lbfgs,0,-1,auprc,0.2584456034767863
170,170,170.0,170.0,170.0,guo_readmission,guo_readmission,count,lr_lbfgs,0,-1,brier,0.0992303779236081
171,171,171.0,171.0,171.0,guo_readmission,guo_readmission,count,lr_lbfgs,0,1,auroc,0.6882242692507078
172,172,172.0,172.0,172.0,guo_readmission,guo_readmission,count,lr_lbfgs,0,1,auprc,0.1983927835438456
173,173,173.0,173.0,173.0,guo_readmission,guo_readmission,count,lr_lbfgs,0,1,brier,0.2500314713104468
174,174,174.0,174.0,174.0,guo_readmission,guo_readmission,count,lr_lbfgs,1,1,auroc,0.4772121864656857
175,175,175.0,175.0,175.0,guo_readmission,guo_readmission,count,lr_lbfgs,1,1,auprc,0.1157707360291687
176,176,176.0,176.0,176.0,guo_readmission,guo_readmission,count,lr_lbfgs,1,1,brier,0.2500024584369661
177,177,177.0,177.0,177.0,guo_readmission,guo_readmission,count,lr_lbfgs,2,1,auroc,0.4133907564700722
178,178,178.0,178.0,178.0,guo_readmission,guo_readmission,count,lr_lbfgs,2,1,auprc,0.0962864922775655
179,179,179.0,179.0,179.0,guo_readmission,guo_readmission,count,lr_lbfgs,2,1,brier,0.2498961795939838
180,180,180.0,180.0,180.0,guo_readmission,guo_readmission,count,lr_lbfgs,3,1,auroc,0.6364517286756789
