,labeling_function,sub_task,model,head,replicate,k,score,value
295,chexpert,Enlarged Cardiomediastinum,count,gbm,1,48,auprc,0.03522068539243185
296,chexpert,Enlarged Cardiomediastinum,count,gbm,1,48,brier,0.42676717682020276
297,chexpert,Enlarged Cardiomediastinum,count,gbm,2,48,auroc,0.6518348889231719
298,chexpert,Enlarged Cardiomediastinum,count,gbm,2,48,auprc,0.02877271497168242
299,chexpert,Enlarged Cardiomediastinum,count,gbm,2,48,brier,0.36394108426774047
300,chexpert,Enlarged Cardiomediastinum,count,gbm,3,48,auroc,0.6050135632006582
301,chexpert,Enlarged Cardiomediastinum,count,gbm,3,48,auprc,0.027668714636184817
302,chexpert,Enlarged Cardiomediastinum,count,gbm,3,48,brier,0.4821806306370458
303,chexpert,Enlarged Cardiomediastinum,count,gbm,4,48,auroc,0.5926909775789366
304,chexpert,Enlarged Cardiomediastinum,count,gbm,4,48,auprc,0.02401628737942489
305,chexpert,Enlarged Cardiomediastinum,count,gbm,4,48,brier,0.4252012645070177
306,chexpert,Enlarged Cardiomediastinum,count,gbm,0,64,auroc,0.5873463694333025
307,chexpert,Enlarged Cardiomediastinum,count,gbm,0,64,auprc,0.02848650364351133
308,chexpert,Enlarged Cardiomediastinum,count,gbm,0,64,brier,0.35264097699880936
309,chexpert,Enlarged Cardiomediastinum,count,gbm,1,64,auroc,0.6306383703589428
310,chexpert,Enlarged Cardiomediastinum,count,gbm,1,64,auprc,0.029984453176627384
311,chexpert,Enlarged Cardiomediastinum,count,gbm,1,64,brier,0.3797030919420023
312,chexpert,Enlarged Cardiomediastinum,count,gbm,2,64,auroc,0.6430143088552915
313,chexpert,Enlarged Cardiomediastinum,count,gbm,2,64,auprc,0.028389574665860215
314,chexpert,Enlarged Cardiomediastinum,count,gbm,2,64,brier,0.3906779064894839
315,chexpert,Enlarged Cardiomediastinum,count,gbm,3,64,auroc,0.6002953692276047
316,chexpert,Enlarged Cardiomediastinum,count,gbm,3,64,auprc,0.025869395053757238
317,chexpert,Enlarged Cardiomediastinum,count,gbm,3,64,brier,0.5077256548759819
318,chexpert,Enlarged Cardiomediastinum,count,gbm,4,64,auroc,0.5663140877301244
319,chexpert,Enlarged Cardiomediastinum,count,gbm,4,64,auprc,0.02249963884699755
320,chexpert,Enlarged Cardiomediastinum,count,gbm,4,64,brier,0.380349657542671
321,chexpert,Enlarged Cardiomediastinum,count,gbm,0,128,auroc,0.613577663786897
322,chexpert,Enlarged Cardiomediastinum,count,gbm,0,128,auprc,0.024789371861180305
323,chexpert,Enlarged Cardiomediastinum,count,gbm,0,128,brier,0.23837138215305323
324,chexpert,Enlarged Cardiomediastinum,count,gbm,1,128,auroc,0.6897475701943845
325,chexpert,Enlarged Cardiomediastinum,count,gbm,1,128,auprc,0.03570391375123666
326,chexpert,Enlarged Cardiomediastinum,count,gbm,1,128,brier,0.192643807408295
327,chexpert,Enlarged Cardiomediastinum,count,gbm,2,128,auroc,0.6888007173711816
328,chexpert,Enlarged Cardiomediastinum,count,gbm,2,128,auprc,0.032240082869196704
329,chexpert,Enlarged Cardiomediastinum,count,gbm,2,128,brier,0.22775255809555434
330,chexpert,Enlarged Cardiomediastinum,count,gbm,3,128,auroc,0.6167614805101307
331,chexpert,Enlarged Cardiomediastinum,count,gbm,3,128,auprc,0.024062593319725205
332,chexpert,Enlarged Cardiomediastinum,count,gbm,3,128,brier,0.2840721467011534
333,chexpert,Enlarged Cardiomediastinum,count,gbm,4,128,auroc,0.6332446261441942
334,chexpert,Enlarged Cardiomediastinum,count,gbm,4,128,auprc,0.024817505296228684
335,chexpert,Enlarged Cardiomediastinum,count,gbm,4,128,brier,0.23722335142897277
336,chexpert,Cardiomegaly,count,gbm,0,-1,auroc,0.7897274442794425
337,chexpert,Cardiomegaly,count,gbm,0,-1,auprc,0.13884253449135267
338,chexpert,Cardiomegaly,count,gbm,0,-1,brier,0.034944494697083044
339,chexpert,Cardiomegaly,count,gbm,0,1,auroc,0.4670013744666646
340,chexpert,Cardiomegaly,count,gbm,0,1,auprc,0.03571307361099269
341,chexpert,Cardiomegaly,count,gbm,0,1,brier,0.5269683434363014
342,chexpert,Cardiomegaly,count,gbm,1,1,auroc,0.4641834244446318
343,chexpert,Cardiomegaly,count,gbm,1,1,auprc,0.03581162951382389
344,chexpert,Cardiomegaly,count,gbm,1,1,brier,0.30085942256748655
345,chexpert,Cardiomegaly,count,gbm,2,1,auroc,0.44850629040062717
346,chexpert,Cardiomegaly,count,gbm,2,1,auprc,0.03489750908553324
347,chexpert,Cardiomegaly,count,gbm,2,1,brier,0.4233236127579044
348,chexpert,Cardiomegaly,count,gbm,3,1,auroc,0.5514937095993727
349,chexpert,Cardiomegaly,count,gbm,3,1,auprc,0.0423253779163095
