,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
247,247,247.0,guo_icu,guo_icu,count,lr_lbfgs,0,16,auprc,0.0647560126951272
248,248,248.0,guo_icu,guo_icu,count,lr_lbfgs,0,16,brier,0.2526524679960212
249,249,249.0,guo_icu,guo_icu,count,lr_lbfgs,1,16,auroc,0.6630122950819671
250,250,250.0,guo_icu,guo_icu,count,lr_lbfgs,1,16,auprc,0.0788012913511574
251,251,251.0,guo_icu,guo_icu,count,lr_lbfgs,1,16,brier,0.2500012774583551
252,252,252.0,guo_icu,guo_icu,count,lr_lbfgs,2,16,auroc,0.6468117164898746
253,253,253.0,guo_icu,guo_icu,count,lr_lbfgs,2,16,auprc,0.0647051733246534
254,254,254.0,guo_icu,guo_icu,count,lr_lbfgs,2,16,brier,0.2990214030781317
255,255,255.0,guo_icu,guo_icu,count,lr_lbfgs,3,16,auroc,0.7469925265188043
256,256,256.0,guo_icu,guo_icu,count,lr_lbfgs,3,16,auprc,0.1344947946476306
257,257,257.0,guo_icu,guo_icu,count,lr_lbfgs,3,16,brier,0.5509177832177545
258,258,258.0,guo_icu,guo_icu,count,lr_lbfgs,4,16,auroc,0.5926741803278689
259,259,259.0,guo_icu,guo_icu,count,lr_lbfgs,4,16,auprc,0.0524848234454729
260,260,260.0,guo_icu,guo_icu,count,lr_lbfgs,4,16,brier,0.3652400195188651
261,261,261.0,guo_icu,guo_icu,count,lr_lbfgs,0,24,auroc,0.5915260366441658
262,262,262.0,guo_icu,guo_icu,count,lr_lbfgs,0,24,auprc,0.0674751247954061
263,263,263.0,guo_icu,guo_icu,count,lr_lbfgs,0,24,brier,0.2513219322041472
264,264,264.0,guo_icu,guo_icu,count,lr_lbfgs,1,24,auroc,0.655478543876567
265,265,265.0,guo_icu,guo_icu,count,lr_lbfgs,1,24,auprc,0.0751728681901632
266,266,266.0,guo_icu,guo_icu,count,lr_lbfgs,1,24,brier,0.2500020970547966
267,267,267.0,guo_icu,guo_icu,count,lr_lbfgs,2,24,auroc,0.7004098360655738
268,268,268.0,guo_icu,guo_icu,count,lr_lbfgs,2,24,auprc,0.1240428196635088
269,269,269.0,guo_icu,guo_icu,count,lr_lbfgs,2,24,brier,0.2810678478706476
270,270,270.0,guo_icu,guo_icu,count,lr_lbfgs,3,24,auroc,0.7338325699132112
271,271,271.0,guo_icu,guo_icu,count,lr_lbfgs,3,24,auprc,0.1097338778193882
272,272,272.0,guo_icu,guo_icu,count,lr_lbfgs,3,24,brier,0.4524785995737539
273,273,273.0,guo_icu,guo_icu,count,lr_lbfgs,4,24,auroc,0.6551139103182256
274,274,274.0,guo_icu,guo_icu,count,lr_lbfgs,4,24,auprc,0.0674579151285665
275,275,275.0,guo_icu,guo_icu,count,lr_lbfgs,4,24,brier,0.296759346085524
276,276,276.0,guo_icu,guo_icu,count,lr_lbfgs,0,32,auroc,0.6378073770491803
277,277,277.0,guo_icu,guo_icu,count,lr_lbfgs,0,32,auprc,0.0740441267102647
278,278,278.0,guo_icu,guo_icu,count,lr_lbfgs,0,32,brier,0.2453606660817847
279,279,279.0,guo_icu,guo_icu,count,lr_lbfgs,1,32,auroc,0.6466610414657665
280,280,280.0,guo_icu,guo_icu,count,lr_lbfgs,1,32,auprc,0.0714342168978896
281,281,281.0,guo_icu,guo_icu,count,lr_lbfgs,1,32,brier,0.250007506170622
282,282,282.0,guo_icu,guo_icu,count,lr_lbfgs,2,32,auroc,0.7227941176470588
283,283,283.0,guo_icu,guo_icu,count,lr_lbfgs,2,32,auprc,0.1258434365354188
284,284,284.0,guo_icu,guo_icu,count,lr_lbfgs,2,32,brier,0.3930621920212415
285,285,285.0,guo_icu,guo_icu,count,lr_lbfgs,3,32,auroc,0.7120238669238187
286,286,286.0,guo_icu,guo_icu,count,lr_lbfgs,3,32,auprc,0.1147835733989841
287,287,287.0,guo_icu,guo_icu,count,lr_lbfgs,3,32,brier,0.2749882103004749
288,288,288.0,guo_icu,guo_icu,count,lr_lbfgs,4,32,auroc,0.7081997348119575
289,289,289.0,guo_icu,guo_icu,count,lr_lbfgs,4,32,auprc,0.0812038914502492
290,290,290.0,guo_icu,guo_icu,count,lr_lbfgs,4,32,brier,0.2505241637899447
291,291,291.0,guo_icu,guo_icu,count,lr_lbfgs,0,48,auroc,0.6341972034715525
292,292,292.0,guo_icu,guo_icu,count,lr_lbfgs,0,48,auprc,0.0626394226695177
293,293,293.0,guo_icu,guo_icu,count,lr_lbfgs,0,48,brier,0.2451984679370683
294,294,294.0,guo_icu,guo_icu,count,lr_lbfgs,1,48,auroc,0.6318948891031823
295,295,295.0,guo_icu,guo_icu,count,lr_lbfgs,1,48,auprc,0.0665423146686898
296,296,296.0,guo_icu,guo_icu,count,lr_lbfgs,1,48,brier,0.2502507747486737
297,297,297.0,guo_icu,guo_icu,count,lr_lbfgs,2,48,auroc,0.7309546769527483
298,298,298.0,guo_icu,guo_icu,count,lr_lbfgs,2,48,auprc,0.1028903328977081
299,299,299.0,guo_icu,guo_icu,count,lr_lbfgs,2,48,brier,0.3607194014288109
300,300,300.0,guo_icu,guo_icu,count,lr_lbfgs,3,48,auroc,0.6515007232401158
301,301,301.0,guo_icu,guo_icu,count,lr_lbfgs,3,48,auprc,0.0822040319439393
302,302,302.0,guo_icu,guo_icu,count,lr_lbfgs,3,48,brier,0.3161984533639053
303,303,303.0,guo_icu,guo_icu,count,lr_lbfgs,4,48,auroc,0.6854809546769527
304,304,304.0,guo_icu,guo_icu,count,lr_lbfgs,4,48,auprc,0.0901586181471105
305,305,305.0,guo_icu,guo_icu,count,lr_lbfgs,4,48,brier,0.2594757177187729
306,306,306.0,guo_icu,guo_icu,count,lr_lbfgs,0,64,auroc,0.6596793635486982
