,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
94,94,94.0,94.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,24,auprc,0.0379802291104622
95,95,95.0,95.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,24,brier,0.4114849248617704
96,96,96.0,96.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,24,auroc,0.5626325324388095
97,97,97.0,97.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,24,auprc,0.0305266822740996
98,98,98.0,98.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,24,brier,0.3704220473748569
99,99,99.0,99.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,24,auroc,0.5455750400878342
100,100,100.0,100.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,24,auprc,0.0328409979715712
101,101,101.0,101.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,24,brier,0.4748359642460223
102,102,102.0,102.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,24,auroc,0.6271742666974474
103,103,103.0,103.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,24,auprc,0.0604545163450896
104,104,104.0,104.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,24,brier,0.4794220855070373
105,105,105.0,105.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,24,auroc,0.5444167824520165
106,106,106.0,106.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,24,auprc,0.0268979119181331
107,107,107.0,107.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,24,brier,0.4465538418576052
108,108,108.0,108.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,32,auroc,0.6085175717778497
109,109,109.0,109.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,32,auprc,0.0446151046705704
110,110,110.0,110.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,32,brier,0.3814547457918404
111,111,111.0,111.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,32,auroc,0.5596170253572144
112,112,112.0,112.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,32,auprc,0.0310501643129066
113,113,113.0,113.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,32,brier,0.4992048471631322
114,114,114.0,114.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,32,auroc,0.5969920616855351
115,115,115.0,115.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,32,auprc,0.0373498430825217
116,116,116.0,116.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,32,brier,0.3593050467157253
117,117,117.0,117.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,32,auroc,0.6311003884837603
118,118,118.0,118.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,32,auprc,0.042511770826551
119,119,119.0,119.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,3,32,brier,0.2918291405067681
120,120,120.0,120.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,32,auroc,0.5454909380697235
121,121,121.0,121.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,32,auprc,0.0300234713368363
122,122,122.0,122.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,4,32,brier,0.4918865272811221
123,123,123.0,123.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,48,auroc,0.5902305485430818
124,124,124.0,124.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,48,auprc,0.0357803667100894
125,125,125.0,125.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,0,48,brier,0.242238152116693
126,126,126.0,126.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,48,auroc,0.5533406169245716
127,127,127.0,127.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,48,auprc,0.0289712355004598
128,128,128.0,128.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,1,48,brier,0.3400606828447549
129,129,129.0,129.0,lab_hyperkalemia,lab_hyperkalemia,count,gbm,2,48,auroc,0.6251931854236239
