,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
162,162.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,128,auroc,0.5740774035854084
163,163.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,128,auprc,0.0186952838026871
164,164.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,3,128,brier,0.2265186039008245
165,165.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,128,auroc,0.5552487038117808
166,166.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,128,auprc,0.0158267972978297
167,167.0,lab_hypoglycemia,lab_hypoglycemia,count,gbm,4,128,brier,0.2891314684925057
168,168.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,-1,auroc,0.5820281255895114
169,169.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,-1,auprc,0.0198169007244032
170,170.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,-1,brier,0.0138237824815656
171,171.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,1,auroc,0.5331548845441898
172,172.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,1,auprc,0.0187432568797263
173,173.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,1,brier,0.250066775872921
174,174.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,1,1,auroc,0.4947107967541502
175,175.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,1,1,auprc,0.0147069438928124
176,176.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,1,1,brier,0.2498641959986756
177,177.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,2,1,auroc,0.5112939775514054
178,178.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,2,1,auprc,0.018269823095359
179,179.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,2,1,brier,0.2501994783943407
180,180.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,3,1,auroc,0.5076307241558197
181,181.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,3,1,auprc,0.0139111817984345
182,182.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,3,1,brier,0.2499876283367606
183,183.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,4,1,auroc,0.4897819213061215
184,184.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,4,1,auprc,0.0140733030578863
185,185.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,4,1,brier,0.249826013387357
186,186.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,2,auroc,0.5257017249103942
187,187.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,2,auprc,0.015362232359017
188,188.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,2,brier,0.2500033411654486
189,189.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,1,2,auroc,0.5547418124233634
190,190.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,1,2,auprc,0.01717987898748
191,191.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,1,2,brier,0.3995559371011297
192,192.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,2,2,auroc,0.520271934245897
193,193.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,2,2,auprc,0.0152357608423288
194,194.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,2,2,brier,0.2499225824277295
195,195.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,3,2,auroc,0.5112511937606112
196,196.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,3,2,auprc,0.0171612937248139
