,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
119,119,119.0,119.0,119.0,new_acutemi,new_acutemi,count,gbm,3,32,brier,0.4297927034614063
120,120,120.0,120.0,120.0,new_acutemi,new_acutemi,count,gbm,4,32,auroc,0.631912926542276
121,121,121.0,121.0,121.0,new_acutemi,new_acutemi,count,gbm,4,32,auprc,0.1135912621521892
122,122,122.0,122.0,122.0,new_acutemi,new_acutemi,count,gbm,4,32,brier,0.317981894966832
123,123,123.0,123.0,123.0,new_acutemi,new_acutemi,count,gbm,0,48,auroc,0.6817847537401245
124,124,124.0,124.0,124.0,new_acutemi,new_acutemi,count,gbm,0,48,auprc,0.1229112462124778
125,125,125.0,125.0,125.0,new_acutemi,new_acutemi,count,gbm,0,48,brier,0.3081424072280326
126,126,126.0,126.0,126.0,new_acutemi,new_acutemi,count,gbm,1,48,auroc,0.720800414635513
127,127,127.0,127.0,127.0,new_acutemi,new_acutemi,count,gbm,1,48,auprc,0.1542907421843403
128,128,128.0,128.0,128.0,new_acutemi,new_acutemi,count,gbm,1,48,brier,0.2328492265513189
129,129,129.0,129.0,129.0,new_acutemi,new_acutemi,count,gbm,2,48,auroc,0.6751992631814872
130,130,130.0,130.0,130.0,new_acutemi,new_acutemi,count,gbm,2,48,auprc,0.1243759315971599
131,131,131.0,131.0,131.0,new_acutemi,new_acutemi,count,gbm,2,48,brier,0.3989573631179586
132,132,132.0,132.0,132.0,new_acutemi,new_acutemi,count,gbm,3,48,auroc,0.6633975598139743
133,133,133.0,133.0,133.0,new_acutemi,new_acutemi,count,gbm,3,48,auprc,0.150671507184584
134,134,134.0,134.0,134.0,new_acutemi,new_acutemi,count,gbm,3,48,brier,0.3684613104753565
135,135,135.0,135.0,135.0,new_acutemi,new_acutemi,count,gbm,4,48,auroc,0.6477489213873481
136,136,136.0,136.0,136.0,new_acutemi,new_acutemi,count,gbm,4,48,auprc,0.1192788887537974
137,137,137.0,137.0,137.0,new_acutemi,new_acutemi,count,gbm,4,48,brier,0.3542296598021472
138,138,138.0,138.0,138.0,new_acutemi,new_acutemi,count,gbm,0,64,auroc,0.7227877934666891
139,139,139.0,139.0,139.0,new_acutemi,new_acutemi,count,gbm,0,64,auprc,0.1893091580269508
140,140,140.0,140.0,140.0,new_acutemi,new_acutemi,count,gbm,0,64,brier,0.2848184277409076
141,141,141.0,141.0,141.0,new_acutemi,new_acutemi,count,gbm,1,64,auroc,0.7305114304925198
142,142,142.0,142.0,142.0,new_acutemi,new_acutemi,count,gbm,1,64,auprc,0.1427135542854857
143,143,143.0,143.0,143.0,new_acutemi,new_acutemi,count,gbm,1,64,brier,0.2695367450836133
144,144,144.0,144.0,144.0,new_acutemi,new_acutemi,count,gbm,2,64,auroc,0.71011059281672
145,145,145.0,145.0,145.0,new_acutemi,new_acutemi,count,gbm,2,64,auprc,0.1571089379444462
146,146,146.0,146.0,146.0,new_acutemi,new_acutemi,count,gbm,2,64,brier,0.2733113169399164
147,147,147.0,147.0,147.0,new_acutemi,new_acutemi,count,gbm,3,64,auroc,0.6912051044993556
148,148,148.0,148.0,148.0,new_acutemi,new_acutemi,count,gbm,3,64,auprc,0.146904192382359
149,149,149.0,149.0,149.0,new_acutemi,new_acutemi,count,gbm,3,64,brier,0.3506428844490939
150,150,150.0,150.0,150.0,new_acutemi,new_acutemi,count,gbm,4,64,auroc,0.6884735529780914
151,151,151.0,151.0,151.0,new_acutemi,new_acutemi,count,gbm,4,64,auprc,0.1258271990711238
152,152,152.0,152.0,152.0,new_acutemi,new_acutemi,count,gbm,4,64,brier,0.2263102328610627
153,153,153.0,153.0,153.0,new_acutemi,new_acutemi,count,gbm,0,128,auroc,0.7011647615845801
154,154,154.0,154.0,154.0,new_acutemi,new_acutemi,count,gbm,0,128,auprc,0.1799726968362712
155,155,155.0,155.0,155.0,new_acutemi,new_acutemi,count,gbm,0,128,brier,0.2617776773349837
156,156,156.0,156.0,156.0,new_acutemi,new_acutemi,count,gbm,1,128,auroc,0.7430135316859976
157,157,157.0,157.0,157.0,new_acutemi,new_acutemi,count,gbm,1,128,auprc,0.1553716990217409
158,158,158.0,158.0,158.0,new_acutemi,new_acutemi,count,gbm,1,128,brier,0.2302968665228674
159,159,159.0,159.0,159.0,new_acutemi,new_acutemi,count,gbm,2,128,auroc,0.7246228357707178
160,160,160.0,160.0,160.0,new_acutemi,new_acutemi,count,gbm,2,128,auprc,0.1511041880238239
161,161,161.0,161.0,161.0,new_acutemi,new_acutemi,count,gbm,2,128,brier,0.2061539155910215
162,162,162.0,162.0,162.0,new_acutemi,new_acutemi,count,gbm,3,128,auroc,0.7208039166246428
163,163,163.0,163.0,163.0,new_acutemi,new_acutemi,count,gbm,3,128,auprc,0.1465146553209328
164,164,164.0,164.0,164.0,new_acutemi,new_acutemi,count,gbm,3,128,brier,0.2843858770146079
165,165,165.0,165.0,165.0,new_acutemi,new_acutemi,count,gbm,4,128,auroc,0.7224410965428364
166,166,166.0,166.0,166.0,new_acutemi,new_acutemi,count,gbm,4,128,auprc,0.1569539526024486
167,167,167.0,167.0,167.0,new_acutemi,new_acutemi,count,gbm,4,128,brier,0.2116378174882852
168,168,168.0,168.0,168.0,new_acutemi,new_acutemi,count,lr_lbfgs,0,-1,auroc,0.6781041631646776
169,169,169.0,169.0,169.0,new_acutemi,new_acutemi,count,lr_lbfgs,0,-1,auprc,0.1354863158771508
170,170,170.0,170.0,170.0,new_acutemi,new_acutemi,count,lr_lbfgs,0,-1,brier,0.0710918918340949
171,171,171.0,171.0,171.0,new_acutemi,new_acutemi,count,lr_lbfgs,0,1,auroc,0.5726137446069367
172,172,172.0,172.0,172.0,new_acutemi,new_acutemi,count,lr_lbfgs,0,1,auprc,0.0823058523250172
173,173,173.0,173.0,173.0,new_acutemi,new_acutemi,count,lr_lbfgs,0,1,brier,0.3624902298950384
174,174,174.0,174.0,174.0,new_acutemi,new_acutemi,count,lr_lbfgs,1,1,auroc,0.6388643749649802
175,175,175.0,175.0,175.0,new_acutemi,new_acutemi,count,lr_lbfgs,1,1,auprc,0.1033828087885712
176,176,176.0,176.0,176.0,new_acutemi,new_acutemi,count,lr_lbfgs,1,1,brier,0.2500970015895715
177,177,177.0,177.0,177.0,new_acutemi,new_acutemi,count,lr_lbfgs,2,1,auroc,0.5615894828262453
178,178,178.0,178.0,178.0,new_acutemi,new_acutemi,count,lr_lbfgs,2,1,auprc,0.0817735332520808
179,179,179.0,179.0,179.0,new_acutemi,new_acutemi,count,lr_lbfgs,2,1,brier,0.2500605272212494
180,180,180.0,180.0,180.0,new_acutemi,new_acutemi,count,lr_lbfgs,3,1,auroc,0.4182565697316075
181,181,181.0,181.0,181.0,new_acutemi,new_acutemi,count,lr_lbfgs,3,1,auprc,0.0546251853253381
182,182,182.0,182.0,182.0,new_acutemi,new_acutemi,count,lr_lbfgs,3,1,brier,0.2499325881132804
183,183,183.0,183.0,183.0,new_acutemi,new_acutemi,count,lr_lbfgs,4,1,auroc,0.5210749705832913
184,184,184.0,184.0,184.0,new_acutemi,new_acutemi,count,lr_lbfgs,4,1,auprc,0.0898108716517772
185,185,185.0,185.0,185.0,new_acutemi,new_acutemi,count,lr_lbfgs,4,1,brier,0.2500461517487883
186,186,186.0,186.0,186.0,new_acutemi,new_acutemi,count,lr_lbfgs,0,2,auroc,0.5944276348966213
187,187,187.0,187.0,187.0,new_acutemi,new_acutemi,count,lr_lbfgs,0,2,auprc,0.0876767394344818
188,188,188.0,188.0,188.0,new_acutemi,new_acutemi,count,lr_lbfgs,0,2,brier,0.2500549265819529
189,189,189.0,189.0,189.0,new_acutemi,new_acutemi,count,lr_lbfgs,1,2,auroc,0.6463551297136774
190,190,190.0,190.0,190.0,new_acutemi,new_acutemi,count,lr_lbfgs,1,2,auprc,0.1190988672197206
191,191,191.0,191.0,191.0,new_acutemi,new_acutemi,count,lr_lbfgs,1,2,brier,0.2500699624093889
192,192,192.0,192.0,192.0,new_acutemi,new_acutemi,count,lr_lbfgs,2,2,auroc,0.5923089314730767
193,193,193.0,193.0,193.0,new_acutemi,new_acutemi,count,lr_lbfgs,2,2,auprc,0.0987810494210253
194,194,194.0,194.0,194.0,new_acutemi,new_acutemi,count,lr_lbfgs,2,2,brier,0.2850399453036418
195,195,195.0,195.0,195.0,new_acutemi,new_acutemi,count,lr_lbfgs,3,2,auroc,0.4092634616462151
196,196,196.0,196.0,196.0,new_acutemi,new_acutemi,count,lr_lbfgs,3,2,auprc,0.053899892830663
197,197,197.0,197.0,197.0,new_acutemi,new_acutemi,count,lr_lbfgs,3,2,brier,0.3800830820748543
